IDCOLABORADOR,IDADE,INSATISTFEITO,STATUSCIVIL,GENERO,NOME,SETOR,CARGO,CEP,NIVELEDUCACAO,FORMACAO,RENDAMENSAL,DESCONTOULTIMAFATURA,ANONAEMPRESA,ANOSMESMAPOSICAO,ANOSDESDEULTIMAPROMOCAO
193,38,Nao,Solteiro,Feminino,Tatiane Carvalho,Saude,Pesquisador,3,5,Formacao Tecnica,2302,Sim,3,2,2
194,30,Nao,Solteiro,Feminino,Patricia Souza,Saude,Pesquisador,18,3,Ciencias Sociais,23910,Nao,5,4,0
197,30,Nao,Divorciado,Feminino,Jessica Goncalves,Saude,Pesquisador,5,3,Formacao Tecnica,10415,Nao,3,2,2
201,19,Nao,Solteiro,Feminino,Mariana Rodrigues,Saude,Tecnico de Laboratorio,3,1,Medicina,16102,Nao,1,0,0
202,40,Nao,Divorciado,Feminino,Vanessa Oliveira,Saude,Pesquisador,26,3,Medicina,8504,Nao,20,7,2
207,32,Nao,Solteiro,Feminino,Adriana Silva,Alimentos,Auditor,8,3,Marketing,15589,Nao,9,8,3
214,58,Nao,Casado,Feminino,Debora Santos,Saude,Pesquisador,9,3,Medicina,11873,Sim,1,0,0
216,34,Nao,Casado,Feminino,Fernanda Costa,Alimentos,Representante de Setor,,4,Marketing,11314,Nao,4,3,1
226,50,Nao,Solteiro,Feminino,Larissa Lima,Saude,Gestor,11,3,Ciencias Sociais,17053,Nao,5,4,4
228,30,Nao,Casado,Feminino,Paula Pereira,Alimentos,Auditor,5,3,Ciencias Sociais,8053,Nao,10,9,7
230,38,Nao,Solteiro,Feminino,Beatriz Almeida,Alimentos,Auditor,1,4,Ciencias Sociais,12930,Nao,8,3,0
235,19,Sim,Solteiro,Feminino,Amanda Fernandes,Alimentos,Representante de Setor,1,1,Formacao Tecnica,20989,Nao,0,0,0
240,45,Nao,Divorciado,Feminino,Leticia Martins,Alimentos,Auditor,4,2,Ciencias Sociais,6319,Sim,5,4,0
241,56,Nao,Divorciado,Feminino,Bruna Carvalho,Saude,Pesquisador,8,3,Ciencias Sociais,13939,Sim,2,2,2
244,46,Nao,Divorciado,Feminino,Carolina Souza,Alimentos,Auditor,1,2,Marketing,2137,Nao,24,13,15
245,38,Nao,Solteiro,Feminino,Isabela Rodrigues,Saude,Tecnico de Laboratorio,9,2,Ciencias Sociais,6319,Nao,2,2,2
246,31,Nao,Casado,Feminino,Luana Oliveira,Saude,Pesquisador,12,1,Medicina,6984,Sim,4,2,0
247,34,Nao,Solteiro,Feminino,Rafaela Santos,Saude,Pesquisador,27,2,Medicina,5711,Nao,3,2,1
248,41,Sim,Solteiro,Feminino,Juliana Lima,Alimentos,Representante de Setor,20,2,Marketing,21728,Sim,4,3,0
250,53,Nao,Divorciado,Feminino,Adriana Pereira,Saude,Diretor de Manufatura,13,2,Medicina,26250,Nao,4,2,1
252,33,Nao,Casado,Feminino,Patricia Almeida,Saude,Pesquisador,14,3,Medicina,4673,Nao,8,7,1
253,40,Nao,Casado,Feminino,Camila Fernandes,Saude,Gestor,,1,Medicina,6499,Nao,20,8,9
258,51,Nao,Solteiro,Feminino,Rafaela Martins,Saude,Representante da Saude,3,3,Medicina,7192,Nao,7,7,1
260,27,Nao,Solteiro,Feminino,Bianca Carvalho,Saude,Pesquisador,9,3,Medicina,11781,Nao,7,7,0
269,35,Nao,Solteiro,Feminino,Vanessa Souza,Saude,Tecnico de Laboratorio,2,3,Medicina,15986,Nao,6,2,1
270,42,Nao,Divorciado,Feminino,Luciana Goncalves,Saude,Diretor de Manufatura,21,2,Medicina,16439,Nao,5,3,0
283,29,Sim,Casado,Feminino,Amanda Rodrigues,Alimentos,Auditor,27,3,Marketing,24525,Nao,10,4,1
286,36,Nao,Solteiro,Feminino,Isabela Oliveira,Saude,Tecnico de Laboratorio,18,1,Medicina,7703,Nao,8,1,1
293,27,Nao,Solteiro,Feminino,Larissa Silva,Alimentos,Auditor,20,3,Ciencias Sociais,12916,Nao,7,7,0
297,30,Sim,Solteiro,Feminino,Leticia Santos,Saude,Pesquisador,3,3,Formacao Tecnica,8556,Sim,5,2,0
298,41,Nao,Solteiro,Feminino,Bruna Costa,Alimentos,Gestor,6,3,Ciencias Sociais,14674,Sim,1,0,0
299,30,Sim,Solteiro,Feminino,Carolina Lima,Alimentos,Auditor,26,4,Marketing,22967,Nao,6,3,0
302,45,Nao,Solteiro,Feminino,Priscila Pereira,Alimentos,Auditor,6,3,Medicina,16840,Nao,19,7,12
303,54,Nao,Casado,Feminino,Thais Almeida,Alimentos,Auditor,3,3,Marketing,17011,Nao,6,2,0
305,33,Nao,Casado,Feminino,Renata Fernandes,Saude,Pesquisador,,4,Medicina,13248,Nao,3,2,1
312,29,Nao,Casado,Feminino,Natalia Martins,Alimentos,Auditor,1,1,Medicina,6599,Nao,11,10,4
314,35,Nao,Solteiro,Feminino,Mariana Carvalho,Alimentos,Auditor,1,3,Marketing,9096,Nao,10,7,0
316,52,Nao,Solteiro,Feminino,Debora Souza,Saude,Tecnico de Laboratorio,2,3,Ciencias Sociais,3300,Nao,2,2,2
323,50,Nao,Divorciado,Feminino,Gabriela Goncalves,Alimentos,Gestor,1,4,Medicina,24118,Nao,7,0,0
327,43,Nao,Casado,Feminino,Jessica Rodrigues,Alimentos,Gestor,16,3,Marketing,7744,Sim,17,13,1
328,33,Sim,Casado,Feminino,Patricia Oliveira,Saude,Tecnico de Laboratorio,2,2,Ciencias Sociais,21509,Nao,9,7,1
330,32,Nao,Casado,Feminino,Daniela Silva,Alimentos,Representante de Setor,4,2,Ciencias Sociais,20990,Nao,4,3,1
332,39,Nao,Divorciado,Feminino,Fernanda Santos,Saude,Tecnico de Laboratorio,1,4,Medicina,15417,Nao,3,2,1
338,33,Nao,Casado,Feminino,Paula Costa,Saude,Pesquisador,5,4,Ciencias Sociais,14776,Nao,2,2,0
340,37,Nao,Casado,Feminino,Amanda Lima,Saude,Pesquisador,1,2,Medicina,18697,Nao,3,1,0
343,39,Nao,Solteiro,Feminino,Tatiane Pereira,Saude,Representante da Saude,2,4,Formacao Tecnica,6420,Nao,19,6,11
347,42,Nao,Solteiro,Feminino,Sabrina Almeida,Saude,Pesquisador,17,2,Ciencias Sociais,23016,Sim,3,2,0
350,25,Nao,Casado,Feminino,Bianca Fernandes,Saude,Diretor de Manufatura,1,3,Ciencias Sociais,7505,Nao,4,2,1
351,42,Nao,Divorciado,Feminino,Luana Martins,Saude,Tecnico de Laboratorio,2,3,Medicina,8007,Sim,9,6,7
363,46,Nao,Casado,Feminino,Caroline Carvalho,Alimentos,Gestor,2,3,Formacao Tecnica,14977,Sim,7,7,7
380,37,Nao,Divorciado,Feminino,Vivian Goncalves,Saude,Diretor de Pesquisa,1,4,Medicina,11677,Sim,5,2,0
381,35,Nao,Divorciado,Feminino,Rafaela Rodrigues,Saude,Gestor,22,3,Ciencias Sociais,19100,Nao,7,7,6
382,38,Nao,Divorciado,Feminino,Laura Oliveira,Alimentos,Auditor,7,2,Medicina,19191,Sim,8,0,7
384,26,Nao,Divorciado,Feminino,Isadora Silva,Saude,Diretor de Manufatura,1,3,Ciencias Sociais,26767,Nao,6,5,1
391,37,Nao,Solteiro,Feminino,Beatriz Santos,Saude,Pesquisador,1,3,Ciencias Sociais,15881,Nao,17,12,5
395,28,Nao,Solteiro,Feminino,Alessandra Lima,Saude,Pesquisador,8,2,Ciencias Sociais,4488,Nao,5,3,0
396,49,Nao,Solteiro,Feminino,Raquel Pereira,Saude,Diretor de Pesquisa,,4,Ciencias Sociais,25594,Sim,3,2,1
399,31,Nao,Divorciado,Feminino,Michele Almeida,Alimentos,Representante de Setor,5,3,Marketing,3909,Nao,2,2,2
404,42,Nao,Casado,Feminino,Patricia Fernandes,Alimentos,Auditor,26,3,Marketing,14864,Nao,20,4,4
411,18,Nao,Solteiro,Feminino,Bruna Martins,Alimentos,Representante de Setor,10,3,Medicina,9724,Nao,0,0,0
419,36,Nao,Casado,Feminino,Vanessa Carvalho,Saude,Tecnico de Laboratorio,24,4,Ciencias Sociais,6927,Nao,9,8,0
421,38,Nao,Casado,Feminino,Renata Souza,Saude,Diretor de Pesquisa,25,2,Ciencias Sociais,26707,Nao,10,8,0
428,33,Nao,Casado,Feminino,Amanda Goncalves,Saude,Gestor,5,4,Ciencias Sociais,23364,Nao,10,6,8
430,43,Nao,Solteiro,Feminino,Thais Rodrigues,Saude,Tecnico de Laboratorio,10,4,Ciencias Sociais,10675,Nao,8,7,1
431,49,Nao,Solteiro,Feminino,Leticia Oliveira,Saude,Representante da Saude,1,2,Formacao Tecnica,17810,Sim,7,1,0
434,27,Nao,Solteiro,Feminino,Natalia Santos,Saude,Pesquisador,5,3,Ciencias Sociais,20938,Sim,4,3,1
436,32,Nao,Casado,Feminino,Ana Pereira,Alimentos,Auditor,,2,Formacao Tecnica,24624,Sim,13,12,11
439,32,Nao,Solteiro,Feminino,Luana Almeida,Saude,Pesquisador,2,4,Medicina,10557,Nao,7,7,0
441,30,Nao,Casado,Feminino,Bruna Fernandes,Saude,Pesquisador,28,2,Medicina,11934,Nao,10,8,1
442,31,Nao,Casado,Feminino,Amanda Martins,Saude,Diretor de Manufatura,7,2,Ciencias Sociais,14034,Nao,10,9,8
445,39,Sim,Casado,Feminino,Tatiane Carvalho,Alimentos,Auditor,3,2,Medicina,17778,Sim,1,0,0
448,43,Nao,Divorciado,Feminino,Patricia Souza,Saude,Tecnico de Laboratorio,10,4,Ciencias Sociais,6227,Nao,9,7,0
450,54,Nao,Solteiro,Feminino,Jessica Goncalves,Saude,Pesquisador,20,4,Ciencias Sociais,16885,Nao,4,3,0
451,43,Nao,Casado,Feminino,Mariana Rodrigues,Saude,Representante da Saude,7,3,Ciencias Sociais,9262,Nao,1,0,0
456,30,Nao,Divorciado,Feminino,Vanessa Oliveira,Alimentos,Auditor,5,3,Marketing,5431,Nao,10,9,1
458,27,Nao,Casado,Feminino,Adriana Silva,Alimentos,Auditor,8,4,Marketing,3415,Nao,8,7,0
462,31,Nao,Solteiro,Feminino,Debora Santos,Saude,Diretor de Manufatura,7,4,Medicina,25713,Sim,11,9,4
463,29,Nao,Divorciado,Feminino,Fernanda Costa,Alimentos,Auditor,10,1,Marketing,11866,Sim,7,7,1
468,42,Nao,Solteiro,Feminino,Larissa Lima,Saude,Diretor de Pesquisa,,5,Ciencias Sociais,15901,Nao,1,0,0
471,32,Nao,Casado,Feminino,Paula Pereira,Saude,Tecnico de Laboratorio,2,3,Medicina,3956,Nao,8,0,0
473,48,Nao,Casado,Feminino,Beatriz Almeida,Alimentos,Gestor,,1,Medicina,23978,Nao,0,0,0
475,30,Nao,Casado,Feminino,Amanda Fernandes,Alimentos,Auditor,,2,Formacao Tecnica,6069,Sim,2,2,2
478,21,Sim,Solteiro,Feminino,Leticia Martins,Alimentos,Representante de Setor,1,1,Formacao Tecnica,9150,Sim,3,2,1
479,36,Nao,Solteiro,Feminino,Bruna Carvalho,Alimentos,Auditor,1,5,Medicina,15276,Nao,1,0,0
483,40,Nao,Casado,Feminino,Carolina Souza,Saude,Tecnico de Laboratorio,10,4,Ciencias Sociais,22495,Sim,7,7,1
485,33,Sim,Solteiro,Feminino,Isabela Rodrigues,Alimentos,Representante de Setor,5,3,Marketing,9150,Sim,1,0,0
486,37,Nao,Casado,Feminino,Luana Oliveira,Saude,Tecnico de Laboratorio,10,3,Medicina,17663,Nao,5,4,0
487,46,Nao,Casado,Feminino,Rafaela Santos,Saude,Diretor de Manufatura,7,4,Medicina,16044,Nao,1,0,0
494,21,Sim,Solteiro,Feminino,Juliana Lima,Alimentos,Representante de Setor,12,3,Ciencias Sociais,25422,Nao,1,0,0
500,51,Nao,Casado,Feminino,Adriana Pereira,Alimentos,Auditor,14,2,Ciencias Sociais,14862,Nao,7,7,0
501,36,Nao,Casado,Feminino,Patricia Almeida,Saude,Pesquisador,2,3,Ciencias Sociais,11868,Nao,2,2,2
505,55,Nao,Solteiro,Feminino,Camila Fernandes,Saude,Gestor,2,3,Ciencias Sociais,23258,Sim,5,4,1
507,24,Nao,Divorciado,Feminino,Rafaela Martins,Alimentos,Auditor,10,4,Marketing,5915,Sim,5,2,0
511,22,Nao,Casado,Feminino,Bianca Carvalho,Saude,Pesquisador,11,3,Medicina,24440,Nao,2,1,1
515,37,Nao,Divorciado,Feminino,Vanessa Souza,Saude,Tecnico de Laboratorio,14,3,Ciencias Sociais,26914,Nao,18,7,12
516,40,Nao,Divorciado,Feminino,Luciana Goncalves,Alimentos,Auditor,2,2,Marketing,22553,Nao,5,4,1
517,42,Nao,Divorciado,Feminino,Amanda Rodrigues,Saude,Tecnico de Laboratorio,1,4,Ciencias Sociais,20490,Nao,5,2,1
521,40,Nao,Casado,Feminino,Isabela Oliveira,Saude,Tecnico de Laboratorio,2,3,Medicina,13436,Nao,1,0,0
523,34,Nao,Casado,Feminino,Larissa Silva,Alimentos,Auditor,4,4,Marketing,12740,Nao,3,2,1
524,31,Nao,Casado,Feminino,Leticia Santos,Saude,Diretor de Manufatura,7,2,Medicina,4156,Nao,13,10,3
526,43,Nao,Divorciado,Feminino,Bruna Costa,Saude,Representante da Saude,8,4,Outros,2227,Sim,5,2,0
527,25,Nao,Solteiro,Feminino,Carolina Lima,Alimentos,Auditor,4,2,Ciencias Sociais,12090,Sim,5,4,1
529,37,Nao,Casado,Feminino,Priscila Pereira,Saude,Pesquisador,25,5,Medicina,23866,Sim,13,11,10
532,56,Nao,Casado,Feminino,Thais Almeida,Alimentos,Auditor,6,3,Ciencias Sociais,18256,Nao,7,7,7
533,30,Nao,Solteiro,Feminino,Renata Fernandes,Alimentos,Auditor,12,3,Formacao Tecnica,19558,Nao,5,4,4
546,52,Nao,Casado,Feminino,Natalia Martins,Saude,Gestor,4,2,Ciencias Sociais,10310,Nao,5,2,1
547,42,Nao,Divorciado,Feminino,Mariana Carvalho,Saude,Pesquisador,29,2,Ciencias Sociais,12932,Nao,5,4,0
548,30,Nao,Solteiro,Feminino,Debora Souza,Saude,Diretor de Manufatura,2,3,Ciencias Sociais,24793,Nao,5,4,0
549,60,Nao,Casado,Feminino,Gabriela Goncalves,Saude,Gestor,7,3,Ciencias Sociais,3854,Nao,29,8,11
550,46,Nao,Divorciado,Feminino,Jessica Rodrigues,Saude,Diretor de Manufatura,18,3,Medicina,26314,Nao,10,7,0
551,42,Nao,Casado,Feminino,Patricia Oliveira,Saude,Representante da Saude,28,4,Formacao Tecnica,4386,Nao,6,5,0
554,24,Sim,Solteiro,Feminino,Daniela Silva,Alimentos,Representante de Setor,1,1,Formacao Tecnica,21972,Sim,5,3,1
555,34,Sim,Divorciado,Feminino,Fernanda Santos,Alimentos,Representante de Setor,6,2,Marketing,12253,Nao,2,2,1
558,40,Nao,Casado,Feminino,Paula Costa,Alimentos,Gestor,2,4,Ciencias Sociais,13022,Nao,20,15,1
560,26,Nao,Divorciado,Feminino,Amanda Lima,Saude,Pesquisador,23,3,Ciencias Sociais,3032,Nao,3,2,0
565,29,Sim,Casado,Feminino,Tatiane Pereira,Saude,Pesquisador,25,5,Formacao Tecnica,18300,Nao,2,2,1
567,30,Nao,Casado,Feminino,Sabrina Almeida,Alimentos,Auditor,22,4,Outros,2890,Nao,9,8,7
571,30,Nao,Solteiro,Feminino,Bianca Fernandes,Saude,Tecnico de Laboratorio,2,3,Medicina,7181,Nao,11,7,6
573,60,Nao,Casado,Feminino,Luana Martins,Alimentos,Auditor,28,3,Marketing,2845,Nao,18,13,13
574,47,Nao,Divorciado,Feminino,Caroline Carvalho,Saude,Diretor de Manufatura,2,2,Medicina,7389,Nao,5,0,0
578,54,Nao,Solteiro,Feminino,Vivian Goncalves,Saude,Tecnico de Laboratorio,8,4,Ciencias Sociais,23428,Nao,1,0,0
580,46,Nao,Casado,Feminino,Rafaela Rodrigues,Alimentos,Auditor,10,3,Marketing,11563,Sim,3,2,1
590,34,Sim,Divorciado,Feminino,Laura Oliveira,Medicamentos,Tecnico de TI,23,3,Recursos Humanos,11533,Sim,3,2,0
595,48,Nao,Casado,Feminino,Isadora Silva,Alimentos,Auditor,2,5,Marketing,19658,Nao,9,7,6
597,55,Nao,Solteiro,Feminino,Beatriz Santos,Alimentos,Gestor,18,5,Ciencias Sociais,9873,Nao,10,9,7
601,40,Nao,Solteiro,Feminino,Alessandra Lima,Saude,Diretor de Manufatura,6,3,Ciencias Sociais,20364,Nao,20,6,5
602,39,Nao,Casado,Feminino,Raquel Pereira,Saude,Tecnico de Laboratorio,8,1,Ciencias Sociais,17872,Nao,8,3,0
608,26,Sim,Divorciado,Feminino,Michele Almeida,Medicamentos,Tecnico de TI,17,4,Ciencias Sociais,22808,Sim,7,7,1
612,33,Nao,Divorciado,Feminino,Patricia Fernandes,Saude,Diretor de Pesquisa,1,5,Medicina,22578,Nao,6,1,0
616,41,Nao,Solteiro,Feminino,Bruna Martins,Saude,Representante da Saude,,4,Outros,2112,Sim,8,7,0
620,35,Nao,Solteiro,Feminino,Vanessa Carvalho,Alimentos,Auditor,1,3,Medicina,6698,Nao,5,4,0
623,37,Nao,Solteiro,Feminino,Renata Souza,Saude,Diretor de Manufatura,1,3,Formacao Tecnica,23848,Nao,6,5,1
624,46,Nao,Casado,Feminino,Amanda Goncalves,Saude,Representante da Saude,18,1,Medicina,8984,Nao,2,2,1
625,41,Nao,Casado,Feminino,Thais Rodrigues,Alimentos,Gestor,2,5,Ciencias Sociais,5626,Nao,18,16,11
634,38,Nao,Casado,Feminino,Leticia Oliveira,Saude,Representante da Saude,10,3,Medicina,22174,Nao,1,0,0
635,37,Nao,Casado,Feminino,Natalia Santos,Saude,Diretor de Manufatura,1,4,Ciencias Sociais,15701,Nao,6,5,4
647,24,Sim,Casado,Feminino,Ana Pereira,Saude,Tecnico de Laboratorio,7,3,Ciencias Sociais,14168,Sim,6,3,1
655,27,Nao,Divorciado,Feminino,Luana Almeida,Saude,Pesquisador,6,4,Medicina,5013,Nao,5,3,0
657,20,Nao,Solteiro,Feminino,Bruna Fernandes,Saude,Pesquisador,1,3,Ciencias Sociais,11757,Nao,1,0,0
659,42,Nao,Casado,Feminino,Amanda Martins,Saude,Representante da Saude,2,4,Ciencias Sociais,5718,Nao,10,2,2
662,38,Nao,Solteiro,Feminino,Tatiane Carvalho,Saude,Pesquisador,1,1,Ciencias Sociais,14561,Nao,0,0,0
664,48,Nao,Casado,Feminino,Patricia Souza,Saude,Gestor,1,4,Ciencias Sociais,17997,Nao,3,2,0
665,44,Nao,Solteiro,Feminino,Jessica Goncalves,Medicamentos,Tecnico de TI,1,4,Ciencias Sociais,26894,Nao,2,2,0
666,34,Nao,Divorciado,Feminino,Mariana Rodrigues,Alimentos,Representante de Setor,14,3,Formacao Tecnica,2912,Sim,8,2,0
679,32,Nao,Casado,Feminino,Vanessa Oliveira,Saude,Pesquisador,9,4,Ciencias Sociais,18089,Sim,6,4,0
680,30,Nao,Divorciado,Feminino,Adriana Silva,Saude,Pesquisador,3,3,Medicina,22653,Nao,1,0,0
682,53,Nao,Solteiro,Feminino,Debora Santos,Alimentos,Auditor,1,1,Medicina,7507,Nao,14,7,8
684,45,Sim,Casado,Feminino,Fernanda Costa,Alimentos,Auditor,26,4,Ciencias Sociais,5630,Nao,1,1,0
686,26,Nao,Casado,Feminino,Larissa Lima,Saude,Tecnico de Laboratorio,6,3,Ciencias Sociais,17759,Sim,3,2,0
690,29,Nao,Casado,Feminino,Paula Pereira,Alimentos,Auditor,3,2,Medicina,3487,Nao,6,0,1
709,38,Nao,Solteiro,Feminino,Beatriz Almeida,Alimentos,Auditor,7,4,Marketing,7791,Nao,7,7,0
714,27,Nao,Divorciado,Feminino,Amanda Fernandes,Alimentos,Auditor,,1,Medicina,16673,Sim,6,5,0
717,34,Nao,Solteiro,Feminino,Leticia Martins,Saude,Representante da Saude,9,3,Medicina,17654,Nao,8,7,7
720,24,Sim,Solteiro,Feminino,Bruna Carvalho,Alimentos,Auditor,3,2,Ciencias Sociais,24785,Nao,2,2,2
721,39,Nao,Solteiro,Feminino,Carolina Souza,Saude,Representante da Saude,2,4,Formacao Tecnica,20978,Nao,20,7,11
724,38,Nao,Solteiro,Feminino,Isabela Rodrigues,Saude,Representante da Saude,1,4,Ciencias Sociais,19383,Nao,9,7,1
